ImageID	ClassID
21732-8850-32604	escola_enginyeria
26619-28637-16723	societat_general
11962-11431-11239	escola_enginyeria
16883-18174-31544	farmacia_albinyana
27265-28600-25451	estacio_nord
30630-5639-13175	estacio_nord
31142-23920-20771	castell_cartoixa
31165-13605-23465	escola_enginyeria
23541-10032-4923	dona_treballadora
21330-23648-13493	catedral
20498-9587-14790	teatre_principal
18234-31524-12070	escola_enginyeria
2606-12176-27548	farmacia_albinyana
13743-7765-21547	catedral
21719-15252-18331	teatre_principal
12678-16441-5334	masia_freixa
21367-19754-8958	farmacia_albinyana
13275-23968-19108	ajuntament
31158-27077-23202	teatre_principal
3336-28775-26503	ajuntament
7002-26726-26996	mercat_independencia
3886-4500-23395	castell_cartoixa
20655-22019-1804	mnactec
168-2743-15592	societat_general
17820-14569-28794	farmacia_albinyana
24729-32641-24381	societat_general
28793-6199-11175	castell_cartoixa
14339-12777-27191	teatre_principal
11485-2695-23379	estacio_nord
3340-5365-24391	escola_enginyeria
28434-29125-25129	catedral
31923-27875-5932	ajuntament
16464-19979-4516	farmacia_albinyana
18462-582-6724	estacio_nord
30409-23466-8735	ajuntament
4632-19251-11710	catedral
9968-26718-895	teatre_principal
13120-15326-15778	escola_enginyeria
4085-23631-19519	mnactec
4188-13261-26350	teatre_principal
9646-29592-32410	mnactec
10956-21869-28493	estacio_nord
25390-11369-432	estacio_nord
3061-16710-19252	catedral
20276-16872-9737	teatre_principal
29105-31712-10753	mnactec
25930-15672-8602	societat_general
6355-27830-22728	escola_enginyeria
28842-3880-26033	estacio_nord
11783-18760-3162	catedral
25192-13600-18321	catedral
27525-19898-2032	escola_enginyeria
10746-4356-24457	teatre_principal
9130-27359-869	ajuntament
26147-18104-14307	mercat_independencia
31439-3018-20900	masia_freixa
30218-8128-25468	societat_general
19079-24541-20311	escola_enginyeria
25713-13411-21436	catedral
16140-11798-13017	estacio_nord
27897-23723-8801	teatre_principal
19552-8325-7400	ajuntament
16140-5388-16487	catedral
29911-27486-31219	farmacia_albinyana
5306-2939-11545	mnactec
28661-18003-19405	castell_cartoixa
3680-16272-2487	ajuntament
2877-5281-226	castell_cartoixa
26719-14911-13501	dona_treballadora
14260-9348-29375	masia_freixa
13107-1101-13819	ajuntament
15414-11863-4424	estacio_nord
22792-1341-14476	escola_enginyeria
27118-21088-19991	dona_treballadora
6894-9771-4673	mercat_independencia
16714-19434-30572	teatre_principal
17156-3055-5516	estacio_nord
28701-20049-5257	societat_general
27513-26279-6872	farmacia_albinyana
13704-1450-20278	societat_general
5367-12636-6143	teatre_principal
14994-8932-16473	farmacia_albinyana
29261-23182-7085	teatre_principal
1298-19523-5253	mercat_independencia
22888-20111-25088	escola_enginyeria
23487-16926-9103	castell_cartoixa
28266-16266-17165	teatre_principal
27370-26503-23248	mercat_independencia
11072-19559-2960	teatre_principal
29429-11804-13780	teatre_principal
15869-11720-7345	ajuntament
8921-27314-19080	mercat_independencia
15257-18498-26634	farmacia_albinyana
24539-8995-27657	castell_cartoixa
5774-5348-9669	teatre_principal
7425-17993-4519	masia_freixa
16245-30237-9134	ajuntament
4626-21534-28661	farmacia_albinyana
22489-25271-16290	mercat_independencia
31309-19023-8924	escola_enginyeria
7948-25004-22676	dona_treballadora
18173-1702-31939	mnactec
2807-7096-24202	catedral
9378-16990-9505	escola_enginyeria
17930-31341-9770	mnactec
3302-11063-14946	mnactec
4352-29802-58	ajuntament
11776-28585-22785	mnactec
24903-17381-29709	estacio_nord
13459-21027-554	masia_freixa
12201-19278-27341	ajuntament
30260-8112-5396	dona_treballadora
27412-20758-10139	estacio_nord
7684-22908-26752	farmacia_albinyana
710-26555-29647	farmacia_albinyana
2623-25984-30912	estacio_nord
4516-28549-2929	mnactec
14761-17858-11236	ajuntament
3654-4189-15667	escola_enginyeria
25739-1999-28698	dona_treballadora
